,x,y,z,name,year
0,12.465141,4.5159297,15.187814,unicredit,2021
1,13.114037,3.3499262,14.397874,unicredit,2020
2,13.685624,2.7981849,15.220078,unicredit,2018
3,12.699859,3.3841755,15.065263,unicredit,2019
4,13.572851,2.9061148,15.347469,unicredit,2017
5,12.661641,3.8887112,14.696316,telecom,2017
6,13.705083,2.8823829,14.74043,telecom,2021
7,13.458305,3.6478553,14.36938,telecom,2020
8,13.382204,4.1723237,14.401565,telecom,2018
9,13.498331,3.9008338,14.579388,telecom,2019
10,12.836286,3.753838,13.025586,leonardo,2019
11,13.004082,3.6784823,13.074753,leonardo,2018
12,12.545495,3.1438231,15.715234,leonardo,2020
13,12.58209,3.06181,15.675649,leonardo,2021
14,12.975457,3.625091,13.1689625,leonardo,2017
15,12.413651,3.963519,13.800657,ferrari,2021
16,12.2519,3.90348,13.684163,ferrari,2020
17,12.225837,3.7800257,13.576338,ferrari,2018
18,12.397088,3.78832,13.227384,ferrari,2019
19,12.305604,3.9058077,13.066509,ferrari,2017
20,13.657104,4.4383316,15.742796,unipolsai,2020
21,13.494179,4.345333,15.881421,unipolsai,2021
22,13.47075,3.878582,15.873484,unipolsai,2019
23,13.562536,4.010081,16.008945,unipolsai,2018
24,13.405203,4.387656,15.923561,unipolsai,2017
25,12.484606,3.3569648,15.441704,pirelli,2017
26,13.143189,3.18914,15.957666,pirelli,2020
27,13.154627,3.189414,15.775345,pirelli,2021
28,12.881906,2.9182613,15.70523,pirelli,2019
29,12.714155,3.3970072,15.914094,pirelli,2018
30,12.801059,5.3238907,16.118427,intesa,2018
31,12.622104,5.622695,16.059471,intesa,2019
32,12.461916,5.8961167,15.856751,intesa,2021
33,12.590425,5.7497945,16.010086,intesa,2020
34,12.981965,4.9746165,16.066164,intesa,2017
35,12.756837,3.5487268,13.7650385,mediobanca,2018
36,13.63841,3.2352262,14.440202,mediobanca,2019
37,12.131464,4.6489887,13.3734045,mediobanca,2021
38,13.685874,3.453886,14.570436,mediobanca,2020
39,12.498482,3.6321845,13.768083,mediobanca,2017
40,13.586151,5.034321,13.086521,moncler,2017
41,13.699422,4.226881,13.146089,moncler,2020
42,13.671676,4.3731694,13.310121,moncler,2021
43,13.573713,4.7896748,13.061906,moncler,2019
44,13.543018,4.954001,13.175231,moncler,2018
45,13.140294,3.103672,14.0084,prysmian,2017
46,13.287912,2.984208,14.274708,prysmian,2019
47,13.438179,2.7647364,14.810379,prysmian,2018
48,13.358817,3.6406512,13.84973,prysmian,2020
49,13.105249,3.5021622,13.830202,prysmian,2021
50,12.526341,6.051342,14.890828,enel,2018
51,12.805683,5.820035,14.638508,enel,2019
52,13.00148,5.704498,13.985228,enel,2021
53,12.709609,6.031236,14.496645,enel,2020
54,12.568395,5.8269176,14.958545,enel,2017
55,12.585968,3.5683823,15.723836,atlantia,2020
56,13.357026,3.0807893,15.638948,atlantia,2021
57,12.580717,2.7209907,14.753088,atlantia,2019
58,12.436408,2.8397973,14.575182,atlantia,2018
59,12.563701,2.7671266,14.703481,atlantia,2017
60,11.841464,4.5168743,12.153829,campari,2019
61,12.147711,4.809733,12.144569,campari,2018
62,11.713542,4.6336646,12.038802,campari,2020
63,11.782227,4.615965,12.1721945,campari,2021
64,12.043883,4.715259,12.215618,campari,2017
65,12.788902,5.26833,13.829518,eni,2020
66,12.935483,5.5230117,13.487179,eni,2021
67,12.634913,6.0310326,14.561151,eni,2019
68,12.30997,4.460964,13.479125,eni,2018
69,13.038696,5.409125,13.55945,eni,2017
70,12.773219,3.7064786,15.426676,generali,2017
71,12.658858,3.7604551,15.820242,generali,2018
72,12.198242,6.1430287,15.690388,generali,2019
73,12.367004,5.9505754,15.795335,generali,2021
74,12.293185,6.1020937,15.678871,generali,2020
75,12.604301,4.9442616,12.636216,stm,2017
76,12.56648,4.774644,12.641416,stm,2019
77,12.430215,4.7121043,12.6085615,stm,2018
78,12.0763035,4.5494585,12.699459,stm,2020
79,12.018233,4.5253215,12.637771,stm,2021
80,12.169353,4.9569306,13.446197,snam,2017
81,12.347228,5.1736913,13.888807,snam,2019
82,12.448405,5.290213,14.62017,snam,2018
83,12.715087,5.4516897,13.587045,snam,2020
84,12.338902,5.0418577,13.672261,snam,2021
85,13.639829,4.4771404,15.580876,poste,2017
86,13.024795,4.163855,14.419291,poste,2021
