,text,name,year,x,y,labels,kw,score
0,financial statements characterised reporting actions impacts concerning consequences pandemic,unipolsai,2020,9.396564,0.8483904,777,pandemic emergency impact,1.2911267094419882e-05
1,based experience gained recent months documented analysis pandemic provided influential global sector bodies group assessed priorities defined matrix unchanged overall whilst pandemic acted accelerator certain instances example need offering remote information support need strengthen protection systems together protection employee privacy became common,unipolsai,2020,9.435272,0.8018501,777,pandemic emergency impact,1.2911267094419882e-05
2,year significantly impacted consequences health emergency caused pandemic commercial activity claims,unipolsai,2020,9.592652,0.951381,777,pandemic emergency impact,1.2911267094419882e-05
3,year marked indelibly health crisis group confirmed support customers flexible solutions protect vulnerability pandemic exposed individuals businesses alike,unipolsai,2020,9.485082,0.91378736,777,pandemic emergency impact,1.2911267094419882e-05
4,lastly please recall group since start health crisis decided extend daily indemnity quarantine charge,unipolsai,2020,9.391704,0.6679657,777,pandemic emergency impact,1.2911267094419882e-05
5,thanks initiatives group offered support case positive test nearly people,unipolsai,2020,9.320604,1.1122761,777,pandemic emergency impact,1.2911267094419882e-05
6,course second modality highly impacted pandemic ensuing impossibility local activities develop relationships,unipolsai,2020,9.557504,0.84165555,777,pandemic emergency impact,1.2911267094419882e-05
7,management health initiatives aimed limiting risks contagion employees monitored task force group level developed simultaneous pandemic situation taking account developments matter,unipolsai,2020,9.317604,0.74565315,777,pandemic emergency impact,1.2911267094419882e-05
8,similar employees agents policyholders general public group also provided support suppliers socioeconomic emergency generated pandemic,unipolsai,2020,9.464581,0.8524384,777,pandemic emergency impact,1.2911267094419882e-05
9,another donated civil protection specific initiative support families doctors workers result pandemic,unipolsai,2020,9.588639,0.83135253,777,pandemic emergency impact,1.2911267094419882e-05
10, boosted services particularly important pandemic period specialist competent doctors,unipolsai,2021,9.5848,0.85044205,777,pandemic emergency impact,1.2911267094419882e-05
11,respect effects pandemic material topics report provides information impacts various performances triggering crisis extraordinary magnitude severely businesses society whole,unipolsai,2021,9.519338,0.8620917,777,pandemic emergency impact,1.2911267094419882e-05
12,detailed information customers please refer customer initiatives related health spread pandemic also affected albeit lesser impact operations support customers network previous year,unipolsai,2021,9.500206,0.86982626,777,pandemic emergency impact,1.2911267094419882e-05
13,regard customers groups businesses significant effects reflected company operates hospitality sector pandemic significant impact,unipolsai,2021,9.4836235,0.9070594,777,pandemic emergency impact,1.2911267094419882e-05
14,faced impact pandemic business group reacted adopting official safe protocol series operational measures ensure maximum safety guests,unipolsai,2021,9.381978,0.818087,777,pandemic emergency impact,1.2911267094419882e-05
15,companies active business sectors less affected health emergency sizes also certainly groups business,unipolsai,2021,9.417495,1.0039724,777,pandemic emergency impact,1.2911267094419882e-05
16,course second modality highly impacted pandemic ensuing limitations local activities developing relationships,unipolsai,2021,9.538414,0.8797001,777,pandemic emergency impact,1.2911267094419882e-05
17, sustainability group impacts initiatives context health spread pandemic began end february also affected albeit lesser impact operations compared previous year series appropriate initiatives therefore activated business continuity maximum protection employees,unipolsai,2021,9.304244,0.99543405,777,pandemic emergency impact,1.2911267094419882e-05
18,despite context uncertainty regarding economic social impacts pandemic may medium including insurance sector management donations contributions commercial initiatives community resumed usual form,unipolsai,2021,9.633022,0.8591229,777,pandemic emergency impact,1.2911267094419882e-05
